"Year","State","State_Population","State_Per_Capita_Income","Total_Charges","Percentage_of_US_Total_Charges","Race","Percentage_of_US_Race_Charges","Sex","Percentage_of_US_Sex_Charges","National_Origin","Percentage_of_US_National_Origin_Charges","Religion","Percentage_of_US_Religion_Charges","Color","Percentage_of_US_Color_Charges","Retaliation_All","Percentage_of_US_Retaliation_All_Charges","Retaliation_Title_VII","Percentage_of_US_Retaliation_Title_VII_Charges","Age","Percentage_of_US_Age_Charges","Disability","Percentage_of_US_Disability_Charges","Equal_Pay_Act","Percentage_of_US_EPA_Charges","GINA","Percentage_of_US_GINA_Charges","Gov_Party","White_Male_Pop","White_Female_Pop","Black_Male_Pop","Black_Female_Pop","Native_American_Male_Pop","Native_American_Female_Pop","Asian_Male_Pop","Asian_Female_Pop","Hispanic_Male_Pop","Hispanic_Female_Pop"
2020,"Michigan",779094,52724,1551,"2.30%",517,"2.30%",446,"2.10%",113,"1.80%",60,"2.50%",27,"0.80%",672,"1.80%",499,"1.80%",302,"2.10%",559,"2.30%",0,"0.00%",5,"1.10%","R",3726688,3808181,691951,764873,34751,36439,178955,182612,239522,229998
2010,"Minnesota",11539336,42724,1158,"1.20%",410,"1.10%",271,"0.90%",146,"1.30%",48,"1.30%",31,"1.10%",529,"1.50%",338,"1.10%",280,"1.20%",464,"1.80%",14,"1.30%",2,"1.00%","R",2206763,2257481,153204,148191,31383,32297,111834,118160,115952,104075
2011,"Minnesota",11544663,45323,1204,"1.20%",469,"1.30%",279,"1.00%",239,"2.00%",79,"1.90%",14,"0.50%",619,"1.70%",418,"1.30%",291,"1.20%",477,"1.90%",21,"2.30%",3,"1.20%","D",2212562,2260929,158515,153237,31717,32675,116787,123023,117636,106302
2012,"Minnesota",11548923,47726,1120,"1.10%",448,"1.30%",288,"0.90%",196,"1.80%",115,"3.00%",38,"1.40%",544,"1.40%",343,"1.10%",264,"1.20%",427,"1.60%",20,"1.80%",6,"2.10%","D",2216788,2262710,163537,157633,31990,32904,121413,127492,119622,108927
2013,"Minnesota",11576684,47838,982,"1.00%",349,"1.10%",245,"0.90%",114,"1.10%",37,"1.00%",29,"0.90%",554,"1.40%",343,"1.10%",260,"1.20%",358,"1.40%",17,"1.70%",1,"0.30%","D",2222193,2266474,169380,163040,32235,33402,125707,131919,122274,112198
2014,"Minnesota",11602700,49967,981,"1.10%",360,"1.20%",260,"1.00%",122,"1.30%",41,"1.20%",37,"1.30%",567,"1.50%",334,"1.10%",266,"1.30%",376,"1.50%",17,"1.80%",6,"1.80%","D",2227144,2268928,176432,169717,32453,33557,130570,136948,124586,115110
2015,"Minnesota",11617527,51985,939,"1.10%",369,"1.20%",267,"1.00%",112,"1.20%",49,"1.40%",50,"1.80%",579,"1.50%",379,"1.20%",239,"1.20%",375,"1.50%",22,"2.30%",9,"2.70%","D",2228654,2267704,183752,176526,32713,33722,135326,141503,127463,117835
2016,"Minnesota",11634370,52596,892,"1.00%",382,"1.20%",229,"0.90%",177,"1.80%",100,"2.60%",38,"1.20%",530,"1.30%",368,"1.10%",197,"0.90%",318,"1.10%",10,"0.90%",2,"0.80%","D",2233010,2269590,192493,185155,32856,33932,140292,146572,130490,120794
2017,"Minnesota",11659650,54317,727,"0.90%",254,"0.90%",200,"0.80%",81,"1.00%",30,"0.90%",29,"0.90%",460,"0.90%",289,"0.90%",175,"1.00%",314,"1.20%",9,"0.90%",1,"0.50%","D",2237865,2273563,201239,193417,33044,34141,144522,151002,134242,124231
2018,"Minnesota",11676341,56568,756,"1.00%",258,"1.00%",194,"0.80%",77,"1.10%",35,"1.20%",27,"0.90%",474,"1.20%",275,"0.90%",194,"1.10%",335,"1.40%",19,"1.80%",4,"1.80%","D",2241347,2275810,209670,201573,33334,34356,148563,154927,137868,127696
2019,"Minnesota",11689100,57946,694,"1.00%",242,"1.00%",203,"0.90%",95,"1.40%",42,"1.50%",28,"0.80%",435,"1.10%",276,"0.90%",165,"1.10%",322,"1.30%",8,"0.70%",3,"1.40%","D",2242498,2276617,217678,209142,33384,34491,151954,158426,140680,130598
2020,"Minnesota",11799448,61464,795,"1.20%",299,"1.40%",208,"1.00%",92,"1.40%",39,"1.60%",27,"0.80%",528,"1.40%",330,"1.20%",196,"1.40%",371,"1.50%",17,"1.70%",9,"2.00%","D",2239725,2273682,223543,214721,33605,34652,154614,161114,143416,132825
2010,"Mississippi",3759944,31287,1783,"1.80%",917,"2.60%",516,"1.80%",50,"0.40%",30,"0.80%",22,"0.80%",486,"1.30%",456,"1.50%",283,"1.20%",239,"0.90%",6,"0.60%",2,"1.00%","R",852803,884697,521831,586081,6978,7457,13568,15196,40072,27573
2011,"Mississippi",3788379,32546,1844,"1.80%",926,"2.60%",481,"1.70%",104,"0.90%",31,"0.70%",12,"0.40%",451,"1.20%",420,"1.30%",263,"1.10%",328,"1.30%",6,"0.70%",1,"0.40%","R",853308,883646,524629,589342,7037,7547,14125,15840,40415,28780
2012,"Mississippi",3818814,33657,1869,"1.90%",871,"2.60%",605,"2.00%",46,"0.40%",38,"1.00%",13,"0.50%",564,"1.50%",528,"1.70%",283,"1.20%",337,"1.30%",10,"0.90%",5,"1.80%","R",853492,883239,527023,591627,7090,7714,14357,16099,40252,29302
2013,"Mississippi",3853214,34259,1973,"2.10%",959,"2.90%",559,"2.00%",73,"0.70%",37,"1.00%",15,"0.50%",642,"1.70%",597,"1.90%",291,"1.40%",325,"1.30%",12,"1.20%",4,"1.20%","R",852364,880912,529627,594410,7141,7718,14940,16773,40817,30170
2014,"Mississippi",3878187,34896,1781,"2.00%",816,"2.60%",548,"2.10%",43,"0.40%",49,"1.40%",7,"0.30%",609,"1.60%",579,"1.90%",257,"1.20%",283,"1.10%",9,"1.00%",4,"1.20%","R",849382,878890,531003,596556,7194,7793,15430,17245,41566,31169
2015,"Mississippi",3909500,35533,1832,"2.10%",806,"2.60%",509,"2.00%",41,"0.40%",39,"1.10%",15,"0.50%",615,"1.60%",570,"1.90%",291,"1.40%",369,"1.50%",17,"1.80%",7,"2.10%","R",845887,875592,530838,598705,7226,7810,15863,17779,42055,32016
2016,"Mississippi",3926331,36021,1865,"2.00%",818,"2.50%",527,"2.00%",39,"0.40%",43,"1.10%",39,"1.30%",710,"1.70%",656,"2.00%",299,"1.40%",418,"1.50%",11,"1.00%",17,"7.10%","R",843070,873618,532452,599995,7239,7815,15919,17905,42628,32749
2017,"Mississippi",3931316,36907,1812,"2.20%",749,"2.60%",556,"2.20%",37,"0.40%",42,"1.20%",19,"0.60%",738,"2.10%",665,"2.10%",285,"1.60%",412,"1.50%",17,"1.70%",8,"3.90%","R",840672,870898,533317,600623,7335,7856,16178,18189,44032,33792
2018,"Mississippi",3940235,37927,1658,"2.20%",683,"2.80%",514,"2.10%",32,"0.50%",34,"1.20%",18,"0.60%",677,"1.70%",601,"2.00%",260,"1.50%",380,"1.50%",11,"1.00%",8,"3.60%","R",835669,866101,532667,600198,7288,7923,16496,18571,45013,34588
2019,"Mississippi",3956971,39184,1271,"1.70%",499,"2.10%",393,"1.70%",22,"0.30%",28,"1.00%",6,"0.20%",510,"1.30%",440,"1.50%",270,"1.70%",312,"1.30%",21,"1.90%",4,"1.90%","R",832333,863772,531746,599851,7403,7985,16767,18878,45494,35324
2020,"Mississippi",3959353,42270,1125,"1.70%",487,"2.20%",365,"1.70%",26,"0.40%",21,"0.90%",15,"0.40%",438,"1.20%",365,"1.30%",178,"1.30%",269,"1.10%",14,"1.40%",5,"1.10%","R",826996,859950,529348,599048,7463,8028,16912,19051,45101,35955
2010,"Missouri",3837491,37118,2305,"2.30%",953,"2.70%",680,"2.30%",87,"0.80%",88,"2.30%",76,"2.70%",871,"2.40%",757,"2.40%",578,"2.50%",525,"2.10%",13,"1.20%",7,"3.50%","D",2412493,2501502,343926,379303,15335,15563,54041,60040,98461,90158
2011,"Missouri",3872036,38533,2310,"2.30%",893,"2.50%",717,"2.50%",127,"1.10%",67,"1.60%",74,"2.60%",849,"2.30%",692,"2.20%",605,"2.60%",553,"2.10%",17,"1.80%",4,"1.60%","D",2413870,2500983,345841,381336,15515,15675,56350,62480,100368,92466
2012,"Missouri",3899001,40317,2100,"2.10%",809,"2.40%",660,"2.20%",137,"1.30%",70,"1.80%",56,"2.10%",898,"2.40%",699,"2.20%",522,"2.30%",553,"2.10%",23,"2.10%",17,"6.10%","D",2415296,2501079,347979,383445,15615,15808,58173,64103,102545,94790
2013,"Missouri",3922468,40569,1958,"2.10%",768,"2.30%",577,"2.10%",117,"1.10%",65,"1.70%",63,"2.00%",940,"2.40%",723,"2.30%",495,"2.30%",565,"2.20%",26,"2.60%",7,"2.10%","D",2417896,2500953,350840,385888,15741,15837,59905,65848,104943,97086
2014,"Missouri",3963244,41963,1808,"2.00%",694,"2.20%",607,"2.30%",90,"0.90%",57,"1.60%",58,"2.10%",807,"2.10%",635,"2.10%",508,"2.50%",526,"2.10%",12,"1.30%",9,"2.70%","D",2419088,2501238,352940,387793,16012,16021,62051,67943,107220,99535
2015,"Missouri",4015792,43322,1868,"2.10%",701,"2.30%",611,"2.30%",98,"1.00%",75,"2.10%",76,"2.80%",945,"2.50%",721,"2.30%",476,"2.30%",592,"2.30%",11,"1.20%",8,"2.40%","D",2420206,2500677,355087,389783,16109,16274,64413,70516,110003,102066
2016,"Missouri",4089976,44410,2147,"2.30%",808,"2.50%",646,"2.40%",109,"1.10%",81,"2.10%",123,"4.00%",1166,"2.80%",854,"2.60%",523,"2.50%",706,"2.50%",26,"2.40%",2,"0.80%","D",2421849,2501361,356974,391459,16271,16426,66000,72128,112675,104737
2017,"Missouri",4143625,45376,2144,"2.50%",755,"2.60%",720,"2.80%",109,"1.30%",85,"2.50%",115,"3.50%",1172,"2.70%",861,"2.70%",588,"3.20%",698,"2.60%",26,"2.60%",6,"2.90%","R",2423984,2503030,358714,393412,16505,16551,68516,74738,115503,107667
2018,"Missouri",4181886,47230,1572,"2.10%",536,"2.20%",558,"2.30%",67,"0.90%",51,"1.80%",107,"3.40%",1019,"2.60%",745,"2.40%",401,"2.40%",544,"2.20%",18,"1.70%",7,"3.20%","R",2424066,2503502,360226,394911,16616,16780,70428,76547,118224,110566
2019,"Missouri",4217737,48922,1486,"2.00%",528,"2.20%",555,"2.40%",79,"1.10%",43,"1.60%",118,"3.50%",937,"2.40%",704,"2.30%",331,"2.10%",472,"1.90%",15,"1.30%",2,"1.00%","R",2423079,2504831,360797,396456,16777,16994,72867,78838,121011,113283
2020,"Missouri",4237256,51673,1434,"2.10%",447,"2.00%",515,"2.40%",61,"1.00%",50,"2.10%",109,"3.10%",930,"2.50%",684,"2.40%",341,"2.40%",505,"2.10%",16,"1.60%",4,"0.90%","R",2422725,2504951,361116,397133,16974,17115,74736,80726,123578,116033
2010,"Montana",5788645,36393,43,"0.00%",11,"0.00%",10,"0.00%",4,"0.00%",2,"0.10%",0,"0.00%",10,"0.00%",7,"0.00%",18,"0.10%",13,"0.10%",0,"0.00%",0,"0.00%","D",443318,439340,3823,2523,32218,32813,3278,4546,11823,11487
2011,"Montana",5839419,38558,21,"0.00%",1,"0.00%",6,"0.00%",1,"0.00%",1,"0.00%",0,"0.00%",5,"0.00%",3,"0.00%",10,"0.00%",9,"0.00%",0,"0.00%",0,"0.00%","D",444973,441103,4197,2915,32515,33216,3502,4783,12342,11952
2012,"Montana",5886992,40701,13,"0.00%",3,"0.00%",5,"0.00%",0,"0.00%",0,"0.00%",0,"0.00%",5,"0.00%",4,"0.00%",5,"0.00%",5,"0.00%",0,"0.00%",0,"0.00%","D",447010,442457,4494,3221,32904,33554,3612,4897,12954,12615
2013,"Montana",5923188,40674,18,"0.00%",3,"0.00%",5,"0.00%",0,"0.00%",2,"0.10%",0,"0.00%",5,"0.00%",4,"0.00%",5,"0.00%",10,"0.00%",2,"0.20%",0,"0.00%","D",450483,445393,4563,3274,33344,33998,4078,5285,13739,13147
2014,"Montana",5957283,42494,25,"0.00%",8,"0.00%",15,"0.10%",0,"0.00%",0,"0.00%",0,"0.00%",16,"0.00%",12,"0.00%",14,"0.10%",9,"0.00%",0,"0.00%",0,"0.00%","D",453554,447875,4664,3361,33719,34307,4273,5497,14338,13777
2015,"Montana",5985562,43941,24,"0.00%",5,"0.00%",11,"0.00%",1,"0.00%",2,"0.10%",93,"3.40%",13,"0.00%",9,"0.00%",9,"0.00%",13,"0.10%",0,"0.00%",1,"0.30%","D",457031,450575,4796,3467,33951,34504,4439,5643,14963,14365
2016,"Montana",6003323,44063,45,"0.00%",18,"0.10%",21,"0.10%",2,"0.00%",1,"0.00%",0,"0.00%",24,"0.10%",19,"0.10%",21,"0.10%",18,"0.10%",0,"0.00%",0,"0.00%","D",461056,454161,4998,3604,34252,34816,4635,6019,15597,14935
2017,"Montana",6023868,46101,28,"0.00%",3,"0.00%",9,"0.00%",4,"0.00%",1,"0.00%",1,"0.00%",8,"0.00%",4,"0.00%",11,"0.10%",12,"0.00%",0,"0.00%",1,"0.50%","D",464944,458222,5182,3807,34548,35261,4825,6246,16524,15678
2018,"Montana",6035802,47808,26,"0.00%",10,"0.00%",10,"0.00%",7,"0.10%",0,"0.00%",6,"0.20%",17,"0.00%",13,"0.00%",2,"0.00%",6,"0.00%",0,"0.00%",0,"0.00%","D",467940,461068,5233,3890,34592,35411,4938,6433,17098,16236
2019,"Montana",6045680,49851,36,"0.00%",5,"0.00%",15,"0.10%",2,"0.00%",1,"0.00%",1,"0.00%",18,"0.00%",17,"0.10%",7,"0.00%",10,"0.00%",1,"0.10%",0,"0.00%","D",471122,463806,5438,4037,34627,35542,5206,6851,17527,16751
2020,"Montana",6177224,53085,37,"0.10%",7,"0.00%",16,"0.10%",3,"0.00%",2,"0.10%",2,"0.10%",24,"0.10%",16,"0.10%",9,"0.10%",21,"0.10%",1,"0.10%",1,"0.20%","D",475215,467362,5668,4146,34915,35780,5379,7152,18122,17420
2010,"Nebraska",6566307,41248,87,"0.10%",28,"0.10%",20,"0.10%",12,"0.10%",3,"0.10%",3,"0.10%",24,"0.10%",19,"0.10%",27,"0.10%",28,"0.10%",2,"0.20%",1,"0.50%","R",747437,769097,46480,45120,7880,8391,17276,18700,79903,71826
2011,"Nebraska",6613583,45674,95,"0.10%",30,"0.10%",22,"0.10%",10,"0.10%",6,"0.10%",1,"0.00%",30,"0.10%",25,"0.10%",22,"0.10%",31,"0.10%",1,"0.10%",1,"0.40%","R",749265,770287,47384,45827,7947,8457,17935,19435,81915,74037
2012,"Nebraska",6663005,46670,75,"0.10%",23,"0.10%",24,"0.10%",7,"0.10%",3,"0.10%",2,"0.10%",20,"0.10%",14,"0.00%",28,"0.10%",25,"0.10%",1,"0.10%",0,"0.00%","R",751610,771545,48030,46509,8028,8439,19014,20520,84136,76289
2013,"Nebraska",6713315,46653,77,"0.10%",26,"0.10%",26,"0.10%",3,"0.00%",4,"0.10%",3,"0.10%",26,"0.10%",21,"0.10%",15,"0.10%",35,"0.10%",3,"0.30%",0,"0.00%","R",753859,771829,49032,47270,8072,8465,19964,21310,86535,78926
2014,"Nebraska",6762596,48957,56,"0.10%",14,"0.00%",19,"0.10%",1,"0.00%",1,"0.00%",2,"0.10%",24,"0.10%",21,"0.10%",19,"0.10%",16,"0.10%",2,"0.20%",0,"0.00%","R",755925,772897,50362,48275,8207,8654,21582,22943,88643,80677
2015,"Nebraska",6794228,50556,108,"0.10%",22,"0.10%",24,"0.10%",9,"0.10%",2,"0.10%",2,"0.10%",35,"0.10%",29,"0.10%",44,"0.20%",33,"0.10%",2,"0.20%",5,"1.50%","R",757569,773155,51407,49117,8307,8738,22970,24275,90783,82914
2016,"Nebraska",6823608,49360,101,"0.10%",26,"0.10%",25,"0.10%",10,"0.10%",3,"0.10%",5,"0.20%",37,"0.10%",27,"0.10%",37,"0.20%",34,"0.10%",2,"0.20%",0,"0.00%","R",758868,773660,52753,50281,8376,8851,24722,25994,93533,85488
2017,"Nebraska",6859789,50204,66,"0.10%",14,"0.00%",22,"0.10%",7,"0.10%",1,"0.00%",3,"0.10%",31,"0.10%",21,"0.10%",18,"0.10%",29,"0.10%",4,"0.40%",1,"0.50%","R",759178,773157,53638,50897,8444,8955,25821,27022,96506,88374
2018,"Nebraska",6882635,52023,103,"0.10%",23,"0.10%",40,"0.20%",8,"0.10%",5,"0.20%",2,"0.10%",41,"0.10%",27,"0.10%",34,"0.20%",38,"0.20%",6,"0.60%",3,"1.40%","R",758485,772251,54693,51905,8526,9021,26729,28023,98794,90777
2019,"Nebraska",6892503,53419,108,"0.10%",27,"0.10%",29,"0.10%",12,"0.20%",3,"0.10%",8,"0.20%",49,"0.10%",31,"0.10%",22,"0.10%",47,"0.20%",2,"0.20%",7,"3.30%","R",758235,771498,55684,52581,8587,9048,27345,28468,101000,92997
2020,"Nebraska",7029917,56869,350,"0.50%",20,"0.10%",36,"0.20%",14,"0.20%",2,"0.10%",8,"0.20%",67,"0.20%",52,"0.20%",34,"0.20%",278,"1.10%",1,"0.10%",229,"52.00%","R",757498,769963,56610,53392,8680,9147,27744,28926,102965,94966
2010,"Nevada",9877510,37494,1300,"1.30%",369,"1.00%",383,"1.30%",206,"1.80%",46,"1.20%",18,"0.60%",477,"1.30%",407,"1.30%",338,"1.50%",375,"1.50%",37,"3.50%",4,"2.00%","R",763542,737080,116410,114053,13109,14015,103271,122570,334025,317455
2011,"Nevada",9882412,38777,1284,"1.30%",393,"1.10%",386,"1.40%",212,"1.80%",59,"1.40%",34,"1.20%",608,"1.60%",523,"1.70%",391,"1.70%",378,"1.50%",13,"1.40%",4,"1.60%","R",758885,732801,118122,116002,13061,14047,105390,125137,337836,323101
2012,"Nevada",9897145,39909,1267,"1.30%",357,"1.10%",408,"1.30%",214,"2.00%",53,"1.40%",24,"0.90%",593,"1.60%",500,"1.60%",328,"1.40%",343,"1.30%",21,"1.90%",3,"1.10%","R",759442,733166,122618,120466,13228,14222,108211,128726,343829,330018
2013,"Nevada",9913065,39664,1175,"1.30%",350,"1.10%",370,"1.30%",178,"1.70%",54,"1.50%",36,"1.10%",657,"1.70%",551,"1.80%",249,"1.20%",284,"1.10%",16,"1.60%",7,"2.10%","R",759864,733507,125168,123511,13269,14324,112020,133508,350671,337952
2014,"Nevada",9929848,41773,1400,"1.60%",386,"1.20%",423,"1.60%",213,"2.20%",56,"1.60%",50,"1.80%",705,"1.90%",589,"1.90%",370,"1.80%",417,"1.60%",22,"2.30%",5,"1.50%","R",762827,736110,129176,128354,13457,14588,115738,138318,358227,346303
2015,"Nevada",9931715,44493,1330,"1.50%",435,"1.40%",381,"1.50%",203,"2.10%",76,"2.10%",56,"2.00%",852,"2.20%",672,"2.20%",342,"1.70%",355,"1.40%",15,"1.60%",7,"2.10%","R",765235,738770,134313,134247,13628,14746,119830,143504,368084,356755
2016,"Nevada",9950571,45450,1027,"1.10%",315,"1.00%",335,"1.20%",167,"1.70%",41,"1.10%",56,"1.80%",654,"1.60%",462,"1.40%",270,"1.30%",353,"1.30%",27,"2.50%",1,"0.40%","R",768196,741391,140348,141083,13799,14941,123972,148742,377824,366419
2017,"Nevada",9973114,47542,978,"1.20%",314,"1.10%",330,"1.30%",156,"1.90%",44,"1.30%",54,"1.70%",558,"1.30%",423,"1.30%",236,"1.30%",322,"1.20%",11,"1.10%",1,"0.50%","R",770934,744176,146529,148340,13965,15253,128445,154064,387807,376138
2018,"Nevada",9984072,49737,784,"1.00%",252,"1.00%",264,"1.10%",88,"1.20%",29,"1.00%",51,"1.60%",473,"1.20%",344,"1.10%",189,"1.10%",269,"1.10%",14,"1.30%",4,"1.80%","R",777237,749650,152546,154931,14299,15512,132520,158689,398132,386717
2019,"Nevada",9986857,51785,896,"1.20%",267,"1.10%",309,"1.30%",124,"1.80%",40,"1.50%",41,"1.20%",572,"1.50%",414,"1.40%",217,"1.40%",317,"1.30%",13,"1.20%",5,"2.40%","R",782811,754766,157942,161092,14435,15699,137735,164777,408801,397703
2020,"Nevada",10077331,54137,794,"1.20%",286,"1.30%",244,"1.10%",81,"1.30%",23,"1.00%",45,"1.30%",502,"1.30%",358,"1.30%",191,"1.30%",261,"1.10%",13,"1.30%",3,"0.70%","R",784742,756800,162628,165963,14561,15879,142436,170576,418775,407389
2010,"New Hampshire",5310828,47098,56,"0.10%",6,"0.00%",15,"0.10%",6,"0.10%",2,"0.10%",6,"0.20%",15,"0.00%",13,"0.00%",20,"0.10%",27,"0.10%",0,"0.00%",1,"0.50%","D",605006,623132,9505,7686,1836,1752,14712,16252,16086,16263
2011,"New Hampshire",5346143,49131,52,"0.10%",7,"0.00%",16,"0.10%",2,"0.00%",1,"0.00%",2,"0.10%",16,"0.00%",12,"0.00%",12,"0.10%",23,"0.10%",0,"0.00%",0,"0.00%","D",604729,622655,9902,8030,1828,1783,15615,17260,16857,16976
2012,"New Hampshire",5376643,51123,59,"0.10%",5,"0.00%",16,"0.10%",6,"0.10%",2,"0.10%",5,"0.20%",20,"0.10%",11,"0.00%",14,"0.10%",28,"0.10%",0,"0.00%",0,"0.00%","D",604688,622499,10363,8393,1855,1762,16429,18284,17701,17640
2013,"New Hampshire",5413479,50865,52,"0.10%",6,"0.00%",14,"0.10%",4,"0.00%",2,"0.10%",3,"0.10%",18,"0.00%",9,"0.00%",11,"0.10%",25,"0.10%",1,"0.10%",0,"0.00%","D",604541,621726,10576,8562,1893,1771,17197,19108,18325,18194
2014,"New Hampshire",5451079,52643,64,"0.10%",6,"0.00%",20,"0.10%",6,"0.10%",2,"0.10%",3,"0.10%",22,"0.10%",19,"0.10%",21,"0.10%",18,"0.10%",2,"0.20%",1,"0.30%","D",606696,622648,10932,8760,1892,1783,18031,19926,19070,18823
2015,"New Hampshire",5482032,54684,58,"0.10%",6,"0.00%",14,"0.10%",7,"0.10%",1,"0.00%",3,"0.10%",17,"0.00%",9,"0.00%",22,"0.10%",27,"0.10%",2,"0.20%",0,"0.00%","D",606534,621489,11386,9054,1893,1787,18984,20745,19999,19619
2016,"New Hampshire",5522744,56321,56,"0.10%",7,"0.00%",11,"0.00%",3,"0.00%",4,"0.10%",0,"0.00%",18,"0.00%",12,"0.00%",20,"0.10%",22,"0.10%",3,"0.30%",0,"0.00%","D",607248,622170,11931,9570,1902,1806,19786,21329,21001,20492
2017,"New Hampshire",5566230,58419,63,"0.10%",7,"0.00%",31,"0.10%",2,"0.00%",0,"0.00%",1,"0.00%",33,"0.10%",27,"0.10%",18,"0.10%",24,"0.10%",1,"0.10%",0,"0.00%","R",608293,623535,12426,9967,1945,1800,20103,21797,22158,21424
2018,"New Hampshire",5606249,60929,50,"0.10%",10,"0.00%",13,"0.10%",4,"0.10%",6,"0.20%",1,"0.00%",13,"0.00%",8,"0.00%",21,"0.10%",23,"0.10%",2,"0.20%",0,"0.00%","R",608856,623682,12948,10440,1949,1824,20465,22048,23267,22219
2019,"New Hampshire",5639632,63271,54,"0.10%",5,"0.00%",16,"0.10%",3,"0.00%",2,"0.10%",3,"0.10%",24,"0.10%",12,"0.00%",12,"0.10%",30,"0.10%",2,"0.20%",4,"1.90%","R",609041,624944,13474,10963,1956,1824,20886,22558,24250,23105
2020,"New Hampshire",5706494,66534,49,"0.10%",11,"0.00%",8,"0.00%",7,"0.10%",1,"0.00%",5,"0.10%",27,"0.10%",12,"0.00%",8,"0.10%",26,"0.10%",1,"0.10%",0,"0.00%","R",610219,625638,13773,11231,2015,1865,21128,22939,25220,23943
2010,"New Jersey",2970548,51076,1687,"1.70%",592,"1.60%",458,"1.60%",254,"2.20%",82,"2.20%",60,"2.20%",582,"1.60%",474,"1.50%",448,"1.90%",444,"1.80%",13,"1.20%",5,"2.50%","R",2567629,2716551,549757,623648,8062,8611,370361,390476,674900,663235
2011,"New Jersey",2978731,52947,1841,"1.80%",624,"1.80%",457,"1.60%",306,"2.60%",89,"2.10%",64,"2.30%",646,"1.70%",541,"1.70%",429,"1.80%",475,"1.80%",11,"1.20%",6,"2.40%","R",2553495,2696797,552028,625380,8166,8672,380806,400855,689293,679104
2012,"New Jersey",2983816,54574,1797,"1.80%",596,"1.80%",462,"1.50%",228,"2.10%",87,"2.30%",56,"2.10%",662,"1.70%",567,"1.80%",446,"2.00%",463,"1.80%",11,"1.00%",4,"1.40%","R",2537413,2677153,554350,626904,8276,8792,389666,409807,700604,691386
2013,"New Jersey",2988711,54813,1665,"1.80%",551,"1.70%",400,"1.40%",228,"2.10%",85,"2.30%",35,"1.10%",603,"1.60%",495,"1.60%",375,"1.80%",504,"1.90%",14,"1.40%",2,"0.60%","R",2520831,2656025,556726,628256,8355,8817,397615,417832,711369,703130
2014,"New Jersey",2990468,57065,1613,"1.80%",544,"1.80%",378,"1.50%",237,"2.50%",98,"2.80%",37,"1.30%",609,"1.60%",508,"1.70%",385,"1.90%",416,"1.60%",11,"1.20%",4,"1.20%","R",2502826,2634426,559317,629154,8338,8908,404777,425841,722139,714566
2015,"New Jersey",2988471,59175,1554,"1.80%",539,"1.70%",354,"1.40%",202,"2.10%",76,"2.10%",56,"2.00%",593,"1.60%",483,"1.60%",369,"1.80%",451,"1.80%",14,"1.50%",4,"1.20%","R",2481737,2610375,560674,629290,8383,8999,413275,435508,731407,725655
2016,"New Jersey",2987938,60533,1890,"2.10%",624,"1.90%",500,"1.90%",254,"2.60%",104,"2.70%",42,"1.40%",731,"1.70%",572,"1.70%",437,"2.10%",583,"2.10%",13,"1.20%",2,"0.80%","R",2461239,2586176,561822,628851,8403,8951,422272,444586,742667,737595
2017,"New Jersey",2988510,62397,1611,"1.90%",533,"1.90%",447,"1.70%",212,"2.60%",85,"2.50%",47,"1.50%",687,"1.70%",536,"1.70%",400,"2.20%",510,"1.90%",16,"1.60%",1,"0.50%","R",2441148,2563116,563153,629343,8471,8996,433254,455222,755434,751565
2018,"New Jersey",2981020,64759,1527,"2.00%",486,"2.00%",436,"1.80%",165,"2.30%",79,"2.80%",69,"2.20%",699,"1.80%",519,"1.70%",388,"2.30%",513,"2.10%",20,"1.90%",2,"0.90%","D",2421824,2540442,564170,629378,8510,9049,439432,461221,767144,764266
2019,"New Jersey",2976149,66862,1480,"2.00%",476,"2.00%",437,"1.90%",211,"3.00%",60,"2.20%",67,"2.00%",698,"1.80%",535,"1.80%",348,"2.20%",481,"2.00%",30,"2.70%",5,"2.40%","D",2401411,2517230,566155,630229,8568,9125,445219,467030,776754,774791
2020,"New Jersey",2961279,70314,1196,"1.80%",347,"1.60%",351,"1.60%",119,"1.90%",59,"2.50%",63,"1.80%",642,"1.70%",452,"1.60%",262,"1.80%",481,"2.00%",15,"1.50%",7,"1.60%","D",2378225,2491017,568545,631415,8561,9120,449320,471512,786563,784614
2010,"New Mexico",5995974,33710,1108,"1.10%",207,"0.60%",371,"1.30%",247,"2.20%",34,"0.90%",33,"1.20%",430,"1.20%",360,"1.20%",246,"1.10%",250,"1.00%",17,"1.60%",1,"0.50%","D",420090,431843,23468,18912,87487,94052,14038,16704,443436,451300
2011,"New Mexico",6010275,35045,1246,"1.20%",212,"0.60%",371,"1.30%",284,"2.40%",41,"1.00%",25,"0.90%",485,"1.30%",401,"1.30%",391,"1.70%",337,"1.30%",31,"3.40%",0,"0.00%","R",418770,429920,23694,19231,88210,94828,14630,17601,449834,457962
2012,"New Mexico",6024367,35749,1277,"1.30%",243,"0.70%",417,"1.40%",273,"2.50%",36,"0.90%",46,"1.70%",525,"1.40%",421,"1.30%",308,"1.30%",375,"1.40%",21,"1.90%",8,"2.90%","R",416265,425992,24009,19222,88578,95496,15144,18102,454544,462049
2013,"New Mexico",6040715,35088,1121,"1.20%",253,"0.80%",377,"1.40%",229,"2.20%",33,"0.90%",41,"1.30%",517,"1.30%",423,"1.30%",266,"1.20%",314,"1.20%",26,"2.60%",2,"0.60%","R",412051,421131,24420,19370,89201,96220,15648,18683,458901,466199
